Subject,WorkTimeInSeconds,AnnaTotal,KateTotal,Winner,Prompt,AnswerType,Answer,Comprehension1,Comprehension2,Comprehension3,Anna1,Anna2,Kate1,Kate2
1205,1044,2,2,KATE,TRUE,Binary,0,TRUE,TRUE,TRUE,1,1,1,1
207,96,4,7,KATE,CORRECT,Binary,0,TRUE,TRUE,TRUE,2,2,3,4
851,317,7,10,KATE,RIGHT,Binary,0,TRUE,FALSE,TRUE,6,1,5,5
206,502,2,2,KATE,TRUE,Binary,1,TRUE,TRUE,TRUE,1,1,1,1
1339,132,7,10,KATE,RIGHT,Binary,0,TRUE,TRUE,TRUE,4,3,6,4
1,62,4,2,ANNA,TRUE,Binary,1,TRUE,TRUE,TRUE,3,1,1,1
286,59,7,10,KATE,RIGHT,Binary,0,TRUE,TRUE,TRUE,1,6,4,6
238,103,7,10,KATE,RIGHT,Binary,0,TRUE,TRUE,TRUE,1,6,5,5
1330,75,7,4,ANNA,CORRECT,Binary,1,TRUE,TRUE,TRUE,3,4,2,2
1212,144,4,2,ANNA,TRUE,Binary,1,FALSE,TRUE,TRUE,1,3,1,1
1034,128,7,10,KATE,RIGHT,Binary,0,TRUE,TRUE,TRUE,4,3,5,5
215,182,4,2,ANNA,TRUE,Binary,0,TRUE,FALSE,FALSE,2,2,1,1
1102,145,7,4,ANNA,CORRECT,Binary,0,TRUE,TRUE,TRUE,2,5,1,3
577,319,7,10,KATE,RIGHT,Binary,0,TRUE,TRUE,TRUE,2,5,4,6
776,70,4,2,ANNA,TRUE,Binary,1,TRUE,TRUE,TRUE,1,3,1,1
536,130,4,2,ANNA,TRUE,Binary,1,TRUE,TRUE,TRUE,2,2,1,1
799,94,10,7,ANNA,RIGHT,Binary,1,FALSE,TRUE,TRUE,5,5,2,5
112,223,4,2,ANNA,TRUE,Binary,1,TRUE,TRUE,TRUE,2,2,1,1
99,53,10,7,ANNA,RIGHT,Binary,1,TRUE,TRUE,TRUE,6,4,3,4
1153,497,10,7,ANNA,RIGHT,Binary,1,TRUE,TRUE,TRUE,4,6,1,6
643,104,4,2,ANNA,TRUE,Binary,1,TRUE,TRUE,TRUE,3,1,1,1
195,75,7,4,ANNA,CORRECT,Binary,1,TRUE,TRUE,TRUE,5,2,1,3
1168,241,4,2,ANNA,TRUE,Binary,1,TRUE,TRUE,TRUE,2,2,1,1
76,119,4,2,ANNA,TRUE,Binary,1,TRUE,TRUE,TRUE,3,1,1,1
651,108,10,7,ANNA,RIGHT,Binary,1,TRUE,TRUE,TRUE,4,6,5,2
1228,1085,7,4,ANNA,CORRECT,Binary,1,TRUE,TRUE,TRUE,4,3,2,2
1064,114,7,4,ANNA,CORRECT,Binary,0,TRUE,TRUE,TRUE,2,5,1,3
594,28,4,2,ANNA,TRUE,Binary,1,FALSE,TRUE,TRUE,2,2,1,1
1279,248,10,7,ANNA,RIGHT,Binary,1,TRUE,TRUE,TRUE,6,4,6,1
906,89,4,2,ANNA,TRUE,Binary,0,TRUE,TRUE,FALSE,1,3,1,1
301,385,7,4,ANNA,CORRECT,Binary,0,FALSE,TRUE,FALSE,6,1,1,3
781,126,10,7,ANNA,RIGHT,Binary,1,TRUE,TRUE,TRUE,6,4,2,5
999,119,7,4,ANNA,CORRECT,Binary,1,TRUE,FALSE,TRUE,2,5,3,1
395,100,4,2,ANNA,TRUE,Binary,1,TRUE,TRUE,TRUE,2,2,1,1
896,135,10,7,ANNA,RIGHT,Binary,1,TRUE,TRUE,TRUE,4,6,1,6
642,390,7,4,ANNA,CORRECT,Binary,1,TRUE,TRUE,FALSE,1,6,3,1
1175,76,10,7,ANNA,RIGHT,Binary,0,TRUE,TRUE,TRUE,5,5,2,5
1327,1129,4,2,ANNA,TRUE,Binary,1,TRUE,TRUE,FALSE,2,2,1,1
53,150,7,4,ANNA,CORRECT,Binary,1,TRUE,TRUE,TRUE,5,2,3,1
1209,95,10,7,ANNA,RIGHT,Binary,1,TRUE,TRUE,TRUE,4,6,3,4
1225,124,7,4,ANNA,CORRECT,Binary,1,TRUE,TRUE,TRUE,6,1,1,3
1343,162,4,2,ANNA,TRUE,Binary,0,TRUE,TRUE,TRUE,3,1,1,1
573,129,7,4,ANNA,CORRECT,Binary,1,TRUE,TRUE,TRUE,2,5,3,1
22,116,4,2,ANNA,TRUE,Binary,1,TRUE,TRUE,TRUE,3,1,1,1
1429,121,10,7,ANNA,RIGHT,Binary,1,TRUE,TRUE,TRUE,4,6,2,5
1084,152,7,4,ANNA,CORRECT,Binary,1,TRUE,TRUE,TRUE,3,4,2,2
992,186,4,2,ANNA,TRUE,Binary,0,TRUE,FALSE,TRUE,2,2,1,1
680,85,10,7,ANNA,RIGHT,Binary,1,TRUE,TRUE,FALSE,4,6,6,1
991,125,4,2,ANNA,TRUE,Binary,1,TRUE,TRUE,FALSE,1,3,1,1
545,262,7,4,ANNA,CORRECT,Binary,1,TRUE,TRUE,TRUE,5,2,2,2
821,253,7,4,ANNA,CORRECT,Binary,1,TRUE,TRUE,TRUE,4,3,1,3
1256,337,4,2,ANNA,TRUE,Binary,1,TRUE,TRUE,TRUE,3,1,1,1
677,173,10,7,ANNA,RIGHT,Binary,1,TRUE,FALSE,TRUE,6,4,2,5
51,74,4,2,ANNA,TRUE,Binary,1,TRUE,TRUE,TRUE,1,3,1,1
1248,207,10,7,ANNA,RIGHT,Binary,1,TRUE,TRUE,TRUE,6,4,4,3
102,179,7,4,ANNA,CORRECT,Binary,0,TRUE,TRUE,TRUE,3,4,2,2
251,113,4,2,ANNA,TRUE,Binary,1,TRUE,TRUE,TRUE,1,3,1,1
306,240,10,7,ANNA,RIGHT,Binary,1,TRUE,TRUE,TRUE,5,5,3,4
1038,137,7,4,ANNA,CORRECT,Binary,1,TRUE,TRUE,TRUE,4,3,2,2
1325,477,10,7,ANNA,RIGHT,Binary,1,TRUE,TRUE,TRUE,6,4,4,3
1437,160,7,4,ANNA,CORRECT,Binary,1,TRUE,TRUE,TRUE,3,4,1,3
1365,119,4,7,KATE,TRUE,Binary,0,TRUE,FALSE,TRUE,2,2,5,2
1324,124,7,4,ANNA,CORRECT,Binary,1,FALSE,FALSE,FALSE,1,6,1,3
116,118,10,7,ANNA,RIGHT,Binary,0,TRUE,TRUE,TRUE,5,5,1,6
266,159,4,7,KATE,TRUE,Binary,0,TRUE,FALSE,FALSE,3,1,4,3
1161,77,7,4,ANNA,CORRECT,Binary,1,TRUE,TRUE,TRUE,3,4,3,1
365,857,10,7,ANNA,RIGHT,Binary,1,TRUE,TRUE,FALSE,4,6,1,6
181,195,7,10,KATE,CORRECT,Binary,1,TRUE,TRUE,TRUE,1,6,6,4
257,329,10,12,KATE,RIGHT,Binary,1,FALSE,TRUE,TRUE,5,5,6,6
727,21,4,7,KATE,TRUE,Binary,1,FALSE,FALSE,TRUE,3,1,4,3
28,129,4,7,KATE,TRUE,Binary,0,TRUE,TRUE,TRUE,3,1,6,1
1035,136,10,12,KATE,RIGHT,Binary,0,TRUE,FALSE,TRUE,6,4,6,6
1052,84,7,10,KATE,CORRECT,Binary,0,TRUE,TRUE,TRUE,2,5,4,6
314,296,4,7,KATE,TRUE,Binary,0,TRUE,TRUE,TRUE,1,3,4,3
817,157,10,12,KATE,RIGHT,Binary,1,FALSE,TRUE,FALSE,6,4,6,6
950,89,4,7,KATE,TRUE,Binary,1,TRUE,FALSE,TRUE,3,1,3,4
614,132,7,10,KATE,CORRECT,Binary,0,TRUE,TRUE,TRUE,1,6,5,5
567,102,10,12,KATE,RIGHT,Binary,0,TRUE,TRUE,TRUE,5,5,6,6
1061,61,4,7,KATE,TRUE,Binary,0,TRUE,TRUE,TRUE,3,1,6,1
779,123,7,10,KATE,CORRECT,Binary,0,TRUE,TRUE,TRUE,6,1,5,5
481,114,10,12,KATE,RIGHT,Binary,0,TRUE,TRUE,TRUE,5,5,6,6
184,82,7,10,KATE,CORRECT,Binary,0,TRUE,TRUE,TRUE,5,2,4,6
1108,545,4,7,KATE,TRUE,Binary,0,TRUE,TRUE,TRUE,3,1,3,4
934,45,10,12,KATE,RIGHT,Binary,0,TRUE,TRUE,FALSE,5,5,6,6
618,519,4,7,KATE,TRUE,Binary,1,TRUE,FALSE,TRUE,2,2,5,2
327,149,10,12,KATE,RIGHT,Binary,0,TRUE,TRUE,TRUE,5,5,6,6
1120,307,4,7,KATE,TRUE,Binary,0,TRUE,TRUE,TRUE,3,1,2,5
1211,126,7,10,KATE,CORRECT,Binary,1,TRUE,TRUE,FALSE,2,5,6,4
1018,137,4,7,KATE,TRUE,Binary,1,TRUE,TRUE,TRUE,2,2,5,2
209,132,7,10,KATE,CORRECT,Binary,0,TRUE,TRUE,TRUE,5,2,6,4
869,54,10,12,KATE,RIGHT,Binary,0,TRUE,TRUE,TRUE,4,6,6,6
1385,266,4,7,KATE,TRUE,Binary,0,TRUE,TRUE,TRUE,3,1,6,1
70,56,7,10,KATE,CORRECT,Binary,1,TRUE,TRUE,TRUE,3,4,6,4
172,84,10,12,KATE,RIGHT,Binary,0,TRUE,TRUE,TRUE,5,5,6,6
617,91,4,7,KATE,TRUE,Binary,0,TRUE,TRUE,TRUE,1,3,6,1
360,255,10,12,KATE,RIGHT,Binary,0,TRUE,TRUE,TRUE,4,6,6,6
839,162,4,7,KATE,TRUE,Binary,1,TRUE,TRUE,TRUE,2,2,6,1
374,147,4,7,KATE,TRUE,Binary,0,TRUE,TRUE,TRUE,3,1,6,1
1173,289,10,12,KATE,RIGHT,Binary,0,TRUE,TRUE,FALSE,5,5,6,6
449,104,10,12,KATE,RIGHT,Binary,0,TRUE,TRUE,TRUE,4,6,6,6
309,177,4,7,KATE,TRUE,Binary,0,TRUE,TRUE,TRUE,1,3,4,3
73,425,10,12,KATE,RIGHT,Binary,1,FALSE,TRUE,TRUE,5,5,6,6
726,173,4,7,KATE,TRUE,Binary,0,TRUE,TRUE,TRUE,1,3,3,4
148,150,7,10,KATE,CORRECT,Binary,0,TRUE,TRUE,TRUE,3,4,5,5
138,217,10,12,KATE,RIGHT,Binary,1,FALSE,TRUE,TRUE,6,4,6,6
407,194,7,10,KATE,CORRECT,Binary,0,FALSE,TRUE,TRUE,5,2,5,5
765,173,4,7,KATE,TRUE,Binary,0,TRUE,TRUE,TRUE,3,1,4,3
1409,108,10,12,KATE,RIGHT,Binary,0,FALSE,TRUE,TRUE,4,6,6,6
949,143,7,4,ANNA,TRUE,Binary,0,TRUE,TRUE,TRUE,3,4,2,2
794,76,7,10,KATE,CORRECT,Binary,1,FALSE,TRUE,TRUE,1,6,6,4
326,69,10,12,KATE,RIGHT,Binary,0,TRUE,TRUE,TRUE,4,6,6,6
1202,77,7,4,ANNA,TRUE,Binary,1,TRUE,TRUE,TRUE,3,4,3,1
7,165,7,10,KATE,CORRECT,Binary,1,TRUE,FALSE,TRUE,3,4,6,4
428,126,10,12,KATE,RIGHT,Binary,0,TRUE,TRUE,TRUE,5,5,6,6
752,174,7,4,ANNA,TRUE,Binary,0,TRUE,TRUE,TRUE,6,1,1,3
1216,170,7,10,KATE,CORRECT,Binary,0,TRUE,TRUE,TRUE,5,2,6,4
435,117,7,4,ANNA,TRUE,Binary,0,TRUE,TRUE,TRUE,2,5,2,2
82,132,10,12,KATE,RIGHT,Binary,0,TRUE,TRUE,TRUE,5,5,6,6
957,94,7,10,KATE,CORRECT,Binary,0,TRUE,TRUE,TRUE,1,6,6,4
86,133,7,10,KATE,CORRECT,Binary,0,TRUE,TRUE,FALSE,5,2,4,6
98,120,12,12,ANNA,RIGHT,Binary,1,TRUE,TRUE,TRUE,6,6,6,6
377,95,7,4,ANNA,TRUE,Binary,1,TRUE,FALSE,TRUE,3,4,1,3
1236,125,7,10,KATE,CORRECT,Binary,1,FALSE,TRUE,FALSE,2,5,4,6
1292,216,12,12,ANNA,RIGHT,Binary,1,TRUE,TRUE,TRUE,6,6,6,6
587,477,7,10,KATE,CORRECT,Binary,0,TRUE,TRUE,TRUE,2,5,5,5
667,311,7,4,ANNA,TRUE,Binary,1,TRUE,TRUE,TRUE,1,6,1,3
1067,162,12,12,ANNA,RIGHT,Binary,1,TRUE,TRUE,TRUE,6,6,6,6
1076,178,7,4,ANNA,TRUE,Binary,1,TRUE,TRUE,TRUE,4,3,1,3
452,95,7,10,KATE,CORRECT,Binary,0,TRUE,TRUE,TRUE,5,2,5,5
156,143,7,4,ANNA,TRUE,Binary,1,TRUE,TRUE,TRUE,6,1,3,1
935,100,12,12,ANNA,RIGHT,Binary,1,TRUE,TRUE,TRUE,6,6,6,6
274,119,7,10,KATE,CORRECT,Binary,0,TRUE,TRUE,TRUE,2,5,4,6
928,87,7,4,ANNA,TRUE,Binary,0,TRUE,FALSE,TRUE,6,1,2,2
1379,61,12,12,ANNA,RIGHT,Binary,1,TRUE,TRUE,TRUE,6,6,6,6
666,116,7,10,KATE,CORRECT,Binary,0,TRUE,TRUE,TRUE,1,6,6,4
1392,134,10,7,ANNA,CORRECT,Binary,1,TRUE,TRUE,TRUE,5,5,4,3
42,91,12,12,ANNA,RIGHT,Binary,1,TRUE,TRUE,TRUE,6,6,6,6
336,114,12,12,ANNA,RIGHT,Binary,1,TRUE,TRUE,TRUE,6,6,6,6
1399,87,10,7,ANNA,CORRECT,Binary,1,TRUE,TRUE,TRUE,6,4,5,2
974,761,12,12,ANNA,RIGHT,Binary,1,TRUE,TRUE,TRUE,6,6,6,6
1116,112,7,4,ANNA,TRUE,Binary,0,TRUE,TRUE,TRUE,4,3,3,1
1039,77,10,7,ANNA,CORRECT,Binary,1,TRUE,TRUE,TRUE,5,5,5,2
1020,160,12,12,ANNA,RIGHT,Binary,1,TRUE,TRUE,TRUE,6,6,6,6
1362,63,7,4,ANNA,TRUE,Binary,1,TRUE,TRUE,TRUE,1,6,1,3
973,79,10,7,ANNA,CORRECT,Binary,1,TRUE,TRUE,TRUE,6,4,3,4
942,63,12,12,ANNA,RIGHT,Binary,1,TRUE,TRUE,TRUE,6,6,6,6
1319,150,10,7,ANNA,CORRECT,Binary,0,FALSE,TRUE,TRUE,6,4,1,6
875,109,7,4,ANNA,TRUE,Binary,1,TRUE,TRUE,TRUE,3,4,1,3
1372,77,12,12,ANNA,RIGHT,Binary,1,TRUE,TRUE,TRUE,6,6,6,6
770,913,10,7,ANNA,CORRECT,Binary,1,TRUE,TRUE,TRUE,4,6,6,1
337,135,10,7,ANNA,CORRECT,Binary,1,TRUE,TRUE,TRUE,6,4,3,4
180,65,12,12,ANNA,RIGHT,Binary,1,TRUE,TRUE,TRUE,6,6,6,6
6,121,12,12,ANNA,RIGHT,Binary,1,TRUE,TRUE,TRUE,6,6,6,6
78,401,7,4,ANNA,TRUE,Binary,1,TRUE,FALSE,TRUE,2,5,1,3
941,117,10,7,ANNA,CORRECT,Binary,1,TRUE,TRUE,TRUE,4,6,6,1
25,153,7,4,ANNA,TRUE,Binary,1,TRUE,TRUE,TRUE,2,5,1,3
296,613,10,7,ANNA,CORRECT,Binary,1,TRUE,TRUE,TRUE,5,5,2,5
1050,646,12,12,ANNA,RIGHT,Binary,1,TRUE,TRUE,TRUE,6,6,6,6
648,123,10,7,ANNA,CORRECT,Binary,1,TRUE,FALSE,TRUE,4,6,2,5
820,42,7,4,ANNA,TRUE,Binary,1,TRUE,TRUE,TRUE,3,4,3,1
199,165,12,12,ANNA,RIGHT,Binary,0,TRUE,TRUE,TRUE,6,6,6,6
751,82,10,7,ANNA,CORRECT,Binary,1,TRUE,TRUE,TRUE,4,6,5,2
501,147,10,12,KATE,TRUSTWORTHY,Binary,1,TRUE,TRUE,TRUE,5,5,6,6
972,91,12,12,ANNA,RIGHT,Binary,1,TRUE,TRUE,TRUE,6,6,6,6
1026,73,7,4,ANNA,TRUE,Binary,1,TRUE,FALSE,TRUE,2,5,2,2
881,180,12,12,ANNA,RIGHT,Binary,1,TRUE,TRUE,TRUE,6,6,6,6
1273,99,7,4,ANNA,TRUE,Binary,1,FALSE,FALSE,FALSE,6,1,2,2
993,59,12,12,ANNA,RIGHT,Binary,1,TRUE,TRUE,TRUE,6,6,6,6
1223,196,7,4,ANNA,TRUE,Binary,1,TRUE,TRUE,TRUE,4,3,2,2
842,122,10,7,ANNA,CORRECT,Binary,1,FALSE,TRUE,TRUE,4,6,5,2
1390,111,12,12,ANNA,RIGHT,Binary,1,TRUE,TRUE,TRUE,6,6,6,6
290,381,7,4,ANNA,TRUE,Binary,1,TRUE,TRUE,TRUE,6,1,3,1
66,139,10,7,ANNA,CORRECT,Binary,1,TRUE,TRUE,TRUE,4,6,4,3
722,517,10,12,KATE,TRUSTWORTHY,Binary,0,TRUE,FALSE,TRUE,6,4,6,6
657,66,7,10,KATE,TRUE,Binary,1,TRUE,FALSE,TRUE,5,2,4,6
275,96,2,2,KATE,TRUSTWORTHY,Binary,0,TRUE,TRUE,TRUE,1,1,1,1
1428,210,10,12,KATE,TRUSTWORTHY,Binary,1,TRUE,TRUE,TRUE,6,4,6,6
926,128,10,12,KATE,TRUSTWORTHY,Binary,1,TRUE,FALSE,TRUE,5,5,6,6
44,199,2,2,KATE,TRUSTWORTHY,Binary,1,TRUE,FALSE,TRUE,1,1,1,1
989,156,10,7,ANNA,CORRECT,Binary,1,TRUE,TRUE,TRUE,4,6,4,3
1059,134,7,10,KATE,TRUE,Binary,0,TRUE,TRUE,TRUE,4,3,6,4
1358,377,2,2,KATE,TRUSTWORTHY,Binary,0,TRUE,TRUE,TRUE,1,1,1,1
723,1078,7,10,KATE,TRUE,Binary,1,TRUE,FALSE,TRUE,3,4,5,5
431,131,10,7,ANNA,CORRECT,Binary,1,TRUE,TRUE,TRUE,6,4,2,5
889,532,7,10,KATE,TRUE,Binary,0,TRUE,TRUE,TRUE,2,5,5,5
1401,357,10,12,KATE,TRUSTWORTHY,Binary,0,TRUE,TRUE,TRUE,5,5,6,6
1176,64,2,2,KATE,TRUSTWORTHY,Binary,0,TRUE,TRUE,TRUE,1,1,1,1
955,31,10,12,KATE,TRUSTWORTHY,Binary,0,TRUE,TRUE,TRUE,5,5,6,6
140,157,7,10,KATE,TRUE,Binary,0,TRUE,TRUE,TRUE,2,5,6,4
279,208,2,2,KATE,TRUSTWORTHY,Binary,0,TRUE,TRUE,TRUE,1,1,1,1
831,168,10,7,ANNA,CORRECT,Binary,0,TRUE,TRUE,TRUE,4,6,3,4
1130,164,10,12,KATE,TRUSTWORTHY,Binary,1,TRUE,TRUE,TRUE,6,4,6,6
1217,163,2,2,KATE,TRUSTWORTHY,Binary,0,TRUE,FALSE,TRUE,1,1,1,1
725,141,7,10,KATE,TRUE,Binary,0,TRUE,TRUE,TRUE,2,5,5,5
793,115,10,12,KATE,TRUSTWORTHY,Binary,1,TRUE,TRUE,TRUE,6,4,6,6
662,131,2,2,KATE,TRUSTWORTHY,Binary,0,TRUE,TRUE,TRUE,1,1,1,1
960,74,10,7,ANNA,CORRECT,Binary,1,TRUE,TRUE,TRUE,6,4,1,6
57,176,7,10,KATE,TRUE,Binary,0,TRUE,TRUE,TRUE,1,6,4,6
740,177,10,12,KATE,TRUSTWORTHY,Binary,1,FALSE,TRUE,TRUE,4,6,6,6
9,147,10,12,KATE,CORRECT,Binary,0,TRUE,TRUE,TRUE,4,6,6,6
683,87,2,2,KATE,TRUSTWORTHY,Binary,0,TRUE,TRUE,TRUE,1,1,1,1
964,219,7,10,KATE,TRUE,Binary,0,TRUE,TRUE,TRUE,2,5,5,5
462,75,10,12,KATE,TRUSTWORTHY,Binary,0,FALSE,TRUE,TRUE,6,4,6,6
240,762,7,10,KATE,TRUE,Binary,0,TRUE,TRUE,TRUE,6,1,4,6
1081,421,10,12,KATE,CORRECT,Binary,1,TRUE,TRUE,FALSE,6,4,6,6
852,115,10,12,KATE,TRUSTWORTHY,Binary,0,TRUE,TRUE,TRUE,6,4,6,6
703,54,2,2,KATE,TRUSTWORTHY,Binary,1,FALSE,FALSE,FALSE,1,1,1,1
48,67,10,12,KATE,TRUSTWORTHY,Binary,1,TRUE,TRUE,TRUE,4,6,6,6
1008,224,7,10,KATE,TRUE,Binary,1,TRUE,TRUE,TRUE,6,1,4,6
384,278,2,2,KATE,TRUSTWORTHY,Binary,0,TRUE,FALSE,TRUE,1,1,1,1
410,75,10,12,KATE,TRUSTWORTHY,Binary,1,TRUE,TRUE,TRUE,4,6,6,6
1088,188,7,10,KATE,TRUE,Binary,0,TRUE,TRUE,TRUE,4,3,4,6
1014,77,10,12,KATE,TRUSTWORTHY,Binary,1,FALSE,TRUE,TRUE,6,4,6,6
1267,148,10,12,KATE,CORRECT,Binary,0,TRUE,TRUE,TRUE,6,4,6,6
713,75,10,12,KATE,TRUSTWORTHY,Binary,0,TRUE,TRUE,TRUE,5,5,6,6
1133,208,7,10,KATE,TRUE,Binary,0,TRUE,TRUE,TRUE,3,4,5,5
317,75,10,12,KATE,CORRECT,Binary,0,TRUE,TRUE,TRUE,4,6,6,6
938,165,10,12,KATE,TRUSTWORTHY,Binary,1,TRUE,TRUE,TRUE,6,4,6,6
340,87,7,10,KATE,TRUE,Binary,0,TRUE,TRUE,TRUE,4,3,5,5
417,241,10,12,KATE,TRUSTWORTHY,Binary,0,TRUE,TRUE,FALSE,5,5,6,6
141,131,10,12,KATE,CORRECT,Binary,0,TRUE,TRUE,TRUE,4,6,6,6
908,203,7,10,KATE,TRUE,Binary,0,TRUE,TRUE,TRUE,6,1,4,6
1023,287,2,2,KATE,TRUSTWORTHY,Binary,1,TRUE,FALSE,TRUE,1,1,1,1
303,78,7,10,KATE,TRUE,Binary,0,TRUE,TRUE,TRUE,3,4,6,4
166,158,2,2,KATE,TRUSTWORTHY,Binary,0,TRUE,TRUE,TRUE,1,1,1,1
967,410,10,12,KATE,TRUSTWORTHY,Binary,0,TRUE,TRUE,FALSE,4,6,6,6
313,122,10,12,KATE,CORRECT,Binary,0,TRUE,TRUE,TRUE,6,4,6,6
599,135,7,10,KATE,TRUE,Binary,0,TRUE,TRUE,TRUE,5,2,4,6
876,730,10,12,KATE,CORRECT,Binary,1,TRUE,TRUE,FALSE,5,5,6,6
1075,120,7,10,KATE,TRUE,Binary,0,TRUE,TRUE,TRUE,2,5,6,4
920,137,2,2,KATE,TRUSTWORTHY,Binary,0,TRUE,FALSE,TRUE,1,1,1,1
909,328,12,12,ANNA,TRUSTWORTHY,Binary,0,TRUE,TRUE,TRUE,6,6,6,6
613,105,10,12,KATE,CORRECT,Binary,0,TRUE,TRUE,TRUE,5,5,6,6
1134,213,2,2,KATE,TRUSTWORTHY,Binary,1,TRUE,TRUE,TRUE,1,1,1,1
265,71,10,7,ANNA,TRUE,Binary,1,TRUE,TRUE,TRUE,4,6,1,6
177,97,12,12,ANNA,TRUSTWORTHY,Binary,1,TRUE,TRUE,TRUE,6,6,6,6
1094,76,10,12,KATE,CORRECT,Binary,0,TRUE,TRUE,TRUE,5,5,6,6
546,134,2,2,KATE,TRUSTWORTHY,Binary,0,TRUE,TRUE,TRUE,1,1,1,1
1222,152,10,12,KATE,CORRECT,Binary,1,FALSE,TRUE,TRUE,5,5,6,6
